jockey,raceDist,postPosition,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH,dataType,raceNum,raceDate
VELAZQUEZ J R,1760,1,CD,D,WF,G3,250000,NA,37.20161206985636,train,NA,NA
VELAZQUEZ J R,1870,1,TAM,D,FT,G2,350000,NA,36.63442199023082,train,NA,NA
VELAZQUEZ J R,1540,1,GP,D,FT,G2,200000,NA,37.70648790998324,train,NA,NA
CASTELLANO J J,1760,1,GP,D,FT,N,100000,NA,36.915504511895,train,NA,NA
VELAZQUEZ J R,1320,1,GP,D,SY,N,75000,NA,38.20574501202774,train,NA,NA
ZAYAS EDGARD J,1320,1,GPW,D,FT,AO,34000,NA,38.374076179647524,train,NA,NA
ZAYAS EDGARD J,1760,1,GP,T,TF,N,75000,NA,35.93890386343217,train,NA,NA
LEBRON VICTOR,1760,1,MTH,D,FT,N,100000,NA,36.16999899527781,train,NA,NA
VELAZQUEZ J R,1430,1,SAR,D,FT,G2,200000,NA,36.65872916405564,train,NA,NA
BRAVO J,1210,1,MTH,D,FT,S,36000,NA,38.54539791309765,train,NA,NA
CARMOUCHE K,1980,2,BEL,D,SY,G3,200000,NA,34.90476600879083,train,NA,NA
JUAREZ NIK,1870,2,KEE,D,FT,G3,200000,NA,35.94249201277955,train,NA,NA
JUAREZ NIK,1980,2,GP,D,FT,AO,48000,NA,35.19596767185192,train,NA,NA
JUAREZ NIK,1870,2,GP,D,FT,AO,48000,NA,36.38352515932655,train,NA,NA
JUAREZ NIK,1540,2,GP,D,FT,AO,46000,NA,37.43760399334443,train,NA,NA
SANTANA RICARDO JR,1760,2,CD,D,FT,AO,60000,NA,36.551934206518425,train,NA,NA
ORTIZ IRAD JR,1760,2,BEL,D,FT,G1,500000,NA,36.813580120666735,train,NA,NA
SAEZ LUIS,1760,2,BEL,D,FT,S,75000,NA,37.105751391465674,train,NA,NA
SANTANA RICARDO JR,1540,2,SAR,D,FT,S,83000,NA,37.24725079815538,train,NA,NA
ALVARADO JUNIOR,1210,2,SAR,D,FT,S,83000,NA,37.36413043478261,train,NA,NA
CASTELLANO J J,1540,3,CD,D,WF,S,62000,NA,37.41981468282252,train,NA,NA
ROSARIO JOEL,1870,4,PIM,D,MY,AO,52000,NA,36.242183058555995,train,NA,NA
ARROYO ANGEL S,1760,4,BEL,D,GD,AO,77000,NA,37.01799485861183,train,NA,NA
PENNINGTON F,1760,4,PRX,D,GD,S,46000,NA,36.36363636363637,train,NA,NA
PENNINGTON F,1830,4,PRX,D,FT,S,50000,NA,35.416612907387815,train,NA,NA
PENNINGTON F,1320,4,PRX,D,FT,S,50000,NA,38.532895675752826,train,NA,NA
PENNINGTON F,1430,4,PRX,D,SY,S,50000,NA,37.51924063622371,train,NA,NA
GEROUX FLORENT,1760,5,CD,D,WF,G3,250000,NA,37.14403631861329,train,NA,NA
GEROUX FLORENT,1980,5,FG,D,FT,G2,1000000,NA,36.74469243331519,train,NA,NA
GEROUX FLORENT,1870,5,FG,D,FT,G2,400000,NA,36.88168932600521,train,NA,NA
