horseName,raceDate,raceNum,horseAgeInDays,jockey,trainer,weight,raceDist,postPosition,track,surface,trackCondition,raceType,purse,finishPosition,adamSpeedInMPH,dataType,adamSpeedInMPHLag1,jockeyLag1,oddsLag1,weightLag1,raceDistLag1,surfaceLag1,purseLag1,raceTypeLag1,trackConditionLag1,finishPositionLag1
WATASHA,2023-08-17T00:00:00Z,NA,1555,ORTIZ JOSE L,RICE LINDA,122,1430,3,SAR,D,FT,C,52000,1,37.74680603948897,train,0,Other,300,0,3000,Other,0,Other,Other,300
WATASHA,2023-06-25T00:00:00Z,NA,1502,DAVIS DYLAN,MAKER MICHAEL J,124,1870,6,BEL,t,FM,C,48000,4,37.573673870333984,train,37.74680603948897,ORTIZ JOSE L,300,122,1430,D,52000,C,FT,300
WATASHA,2023-05-26T00:00:00Z,NA,1472,ORTIZ JOSE L,MOTT WILLIAM I,123,1320,3,BEL,t,FM,C,41000,4,39.147455415398,train,37.573673870333984,DAVIS DYLAN,300,124,1870,t,48000,C,FM,300
WATASHA,2023-05-19T00:00:00Z,NA,1465,CANCEL ERIC,MOTT WILLIAM I,125,1320,2,BEL,D,FT,A,95000,8,37.29796933278077,train,39.147455415398,ORTIZ JOSE L,300,123,1320,t,41000,C,FM,300
WATASHA,2023-04-01T00:00:00Z,NA,1417,CANCEL ERIC,MOTT WILLIAM I,122,1540,2,AQU,D,MY,A,82000,5,37.21204961606615,train,37.29796933278077,CANCEL ERIC,300,125,1320,D,95000,A,FT,300
WATASHA,2023-01-14T00:00:00Z,NA,1340,DAVIS DYLAN,MOTT WILLIAM I,122,1760,9,AQU,D,GD,A,82000,8,35.56960774627013,train,37.21204961606615,CANCEL ERIC,300,122,1540,D,82000,A,MY,300
WATASHA,2022-12-18T00:00:00Z,NA,1313,DAVIS DYLAN,MOTT WILLIAM I,118,1760,7,AQU,D,GD,A,90000,3,36.08299087902175,train,35.56960774627013,DAVIS DYLAN,300,122,1760,D,82000,A,GD,300
WATASHA,2022-11-05T00:00:00Z,NA,1270,FRANCO MANUEL,BROWN CHAD C,120,1430,5,AQU,D,FT,A,90000,5,37.69815697899213,train,36.08299087902175,DAVIS DYLAN,300,118,1760,D,90000,A,GD,300
WATASHA,2022-10-09T00:00:00Z,NA,1243,ORTIZ JOSE L,BROWN CHAD C,121,1540,1,BAQ,D,FT,S,95000,1,37.076271186440685,train,37.69815697899213,FRANCO MANUEL,300,120,1430,D,90000,A,FT,300
WATASHA,2022-03-12T00:00:00Z,NA,1032,GAFFALIONE TYLER,BROWN CHAD C,120,1650,1,GP,T,TF,S,60000,5,36.42348370386359,train,37.076271186440685,ORTIZ JOSE L,300,121,1540,D,95000,S,FT,300
WATER WHITE,2020-03-07T00:00:00Z,NA,1057,VARGAS JORGE A JR,RODRIGUEZ RUDY R,118,1760,6,AQU,D,FT,N,250000,1,35.92455842730267,train,0,Other,300,0,3000,Other,0,Other,Other,300
WATER WHITE,2020-02-02T00:00:00Z,NA,1023,VARGAS JORGE A JR,RODRIGUEZ RUDY R,118,1980,1,AQU,D,FT,N,100000,2,35.016427459795956,train,35.92455842730267,VARGAS JORGE A JR,300,118,1760,D,250000,N,FT,300
WATER WHITE,2019-12-07T00:00:00Z,NA,966,FRANCO MANUEL,RODRIGUEZ RUDY R,118,1980,9,AQU,D,FT,G2,250000,5,35.046728971962615,train,35.016427459795956,VARGAS JORGE A JR,300,118,1980,D,100000,N,FT,300
WATER WHITE,2019-11-15T00:00:00Z,NA,944,FRANCO MANUEL,RODRIGUEZ RUDY R,119,1760,3,AQU,D,FT,S,70000,1,35.242290748898675,train,35.046728971962615,FRANCO MANUEL,300,118,1980,D,250000,G2,FT,300
WATER WHITE,2019-10-05T00:00:00Z,NA,903,ORTIZ IRAD JR,RODRIGUEZ RUDY R,119,1760,7,BEL,D,FT,S,75000,2,37.39094308267553,train,35.242290748898675,FRANCO MANUEL,300,119,1760,D,70000,S,FT,300
WATER WHITE,2019-08-18T00:00:00Z,NA,855,ORTIZ IRAD JR,RODRIGUEZ RUDY R,119,1430,2,SAR,D,FT,S,90000,4,37.73706618500839,train,37.39094308267553,ORTIZ IRAD JR,300,119,1760,D,75000,S,FT,300
WELLES CROWTHER,2018-04-19T00:00:00Z,NA,1100,ALBARADO R J,Other,120,1760,12,KEE,T,TF,S,74000,5,35.6753542760876,train,0,Other,300,0,3000,Other,0,Other,Other,300
WELLES CROWTHER,2017-11-25T00:00:00Z,NA,955,ALBARADO R J,Other,118,1540,5,CD,D,FT,S,60000,3,37.05010585744531,train,35.6753542760876,ALBARADO R J,300,120,1760,T,74000,S,TF,300
WEST NEWTON,2023-07-19T00:00:00Z,NA,2711,MULQUEEN STEPHEN,HENDRIKS RICHARD J,144,3630,6,SAR,T,TF,G1,150000,5,31.335724836463392,train,0,Other,300,0,3000,Other,0,Other,Other,300
WEST NEWTON,2022-11-07T00:00:00Z,NA,2457,BOYCE FOREST,HENDRIKS RICHARD J,123,1980,4,LRL,T,FM,C,40740,6,37.19008264462809,train,31.335724836463392,MULQUEEN STEPHEN,300,144,3630,T,150000,G1,TF,300
WEST NEWTON,2022-10-22T00:00:00Z,NA,2441,BESWICK HARRISON,HENDRIKS RICHARD J,163,3740,1,GRM,T,FM,AO,25000,6,30.337880710659896,train,37.19008264462809,BOYCE FOREST,300,123,1980,T,40740,C,FM,300
WEST NEWTON,2022-10-12T00:00:00Z,NA,2431,Other,HENDRIKS RICHARD J,122,1830,1,PID,D,FT,C,22000,4,36.690666714191515,train,30.337880710659896,BESWICK HARRISON,300,163,3740,T,25000,AO,FM,300
WEST NEWTON,2022-09-10T00:00:00Z,NA,2399,BOYCE FOREST,HENDRIKS RICHARD J,126,1980,9,PIM,T,FM,C,36200,1,36.12201212986086,train,36.690666714191515,Other,300,122,1830,D,22000,C,FT,300
WEST NEWTON,2021-10-16T00:00:00Z,NA,2070,Other,HENDRIKS RICHARD J,153,4400,5,FH,T,FM,N,75000,6,29.967036260113876,train,36.12201212986086,BOYCE FOREST,300,126,1980,T,36200,C,FM,300
WESTWOOD,2018-04-07T00:00:00Z,NA,1543,ORTIZ IRAD JR,MCLAUGHLIN KIARAN P,118,1540,3,KEE,D,FT,G3,250000,5,37.99758745476477,train,0,Other,300,0,3000,Other,0,Other,Other,300
WESTWOOD,2018-02-15T00:00:00Z,NA,1492,MCCARTHY TREVOR,MCLAUGHLIN KIARAN P,123,1430,4,AQU,D,GD,AO,69000,1,36.91317516405856,train,37.99758745476477,ORTIZ IRAD JR,300,118,1540,D,250000,G3,FT,300
WESTWOOD,2018-01-20T00:00:00Z,NA,1466,MCCARTHY TREVOR,MCLAUGHLIN KIARAN P,123,1430,2,AQU,D,FT,A,67000,1,38.573124093366744,train,36.91317516405856,MCCARTHY TREVOR,300,123,1430,D,69000,AO,GD,300
WESTWOOD,2017-12-01T00:00:00Z,NA,1416,ORTIZ JOSE L,MCLAUGHLIN KIARAN P,122,1540,2,AQU,D,FT,A,67000,2,37.023977433004234,train,38.573124093366744,MCCARTHY TREVOR,300,123,1430,D,67000,A,FT,300
WESTWOOD,2017-11-05T00:00:00Z,NA,1390,BRAVO J,MCLAUGHLIN KIARAN P,122,1430,2,AQU,D,FT,S,60000,1,38.13559322033898,train,37.023977433004234,ORTIZ JOSE L,300,122,1540,D,67000,A,FT,300
WESTWOOD,2017-10-16T00:00:00Z,NA,1370,BRAVO J,MCLAUGHLIN KIARAN P,121,1320,2,PRX,D,FT,S,45000,3,37.34439834024896,train,38.13559322033898,BRAVO J,300,122,1430,D,60000,S,FT,300
WESTWOOD,2016-09-03T00:00:00Z,NA,962,BRAVO J,MCLAUGHLIN KIARAN P,119,1540,9,SAR,D,FT,S,83000,2,37.181303116147305,train,37.34439834024896,BRAVO J,300,121,1320,D,45000,S,FT,300
WEYHILL ROAD,2023-07-01T00:00:00Z,NA,1232,ORTIZ JOSE L,MCGAUGHEY CLAUDE III,118,1760,6,BEL,T,FM,S,90000,4,37.7992440151197,train,0,Other,300,0,3000,Other,0,Other,Other,300
WEYHILL ROAD,2023-05-20T00:00:00Z,NA,1190,GAFFALIONE TYLER,MCGAUGHEY CLAUDE III,118,1870,4,PIM,T,FM,S,58500,3,37.3170731707317,train,37.7992440151197,ORTIZ JOSE L,300,118,1760,T,90000,S,FM,300
WEYHILL ROAD,2023-03-11T00:00:00Z,NA,1120,Other,MCGAUGHEY CLAUDE III,118,1870,2,GP,D,FT,S,84000,5,36.0542935243661,train,37.3170731707317,GAFFALIONE TYLER,300,118,1870,T,58500,S,FM,300
WEYHILL ROAD,2023-01-14T00:00:00Z,NA,1064,GAFFALIONE TYLER,MCGAUGHEY CLAUDE III,118,1760,6,GP,D,FT,S,84000,5,36.10470364055762,train,36.0542935243661,Other,300,118,1870,D,84000,S,FT,300
WEYHILL ROAD,2022-10-21T00:00:00Z,NA,979,GAFFALIONE TYLER,MCGAUGHEY CLAUDE III,119,1430,5,KEE,D,FT,S,100000,4,36.79245283018868,train,36.10470364055762,GAFFALIONE TYLER,300,118,1760,D,84000,S,FT,300
WHAT THE LUCK,2018-07-14T00:00:00Z,NA,790,DAVIS DYLAN,WARD WESLEY A,122,1320,4,BEL,D,FT,N,100000,5,35.53099091985788,train,0,Other,300,0,3000,Other,0,Other,Other,300
WHAT THE LUCK,2018-04-19T00:00:00Z,NA,704,DAVIS DYLAN,WARD WESLEY A,119,990,6,AQU,D,FT,S,100000,1,38.949798038084246,train,35.53099091985788,DAVIS DYLAN,300,122,1320,D,100000,N,FT,300
WHAT'S UP BRO,2023-06-17T00:00:00Z,NA,1158,ORTIZ IRAD JR,KLESARIS ROBERT P,120,1540,5,BEL,T,FM,AO,85000,6,37.68393348486661,train,0,Other,300,0,3000,Other,0,Other,Other,300
WHAT'S UP BRO,2023-05-29T00:00:00Z,NA,1139,ORTIZ IRAD JR,KLESARIS ROBERT P,120,1540,4,BEL,D,FT,N,125000,4,37.317853334912925,train,37.68393348486661,ORTIZ IRAD JR,300,120,1540,T,85000,AO,FM,300
WHAT'S UP BRO,2023-03-19T00:00:00Z,NA,1068,DAVIS DYLAN,KLESARIS ROBERT P,120,1320,1,AQU,D,FT,N,100000,3,36.2610797743755,train,37.317853334912925,ORTIZ IRAD JR,300,120,1540,D,125000,N,FT,300
WHAT'S UP BRO,2023-02-20T00:00:00Z,NA,1041,DAVIS DYLAN,KLESARIS ROBERT P,122,1320,2,AQU,D,FT,AO,72000,1,37.463577077840995,train,36.2610797743755,DAVIS DYLAN,300,120,1320,D,100000,N,FT,300
WHAT'S UP BRO,2023-01-15T00:00:00Z,NA,1005,LEZCANO JOSE,KLESARIS ROBERT P,122,1320,5,AQU,D,FT,AO,72000,3,35.775804955611505,train,37.463577077840995,DAVIS DYLAN,300,122,1320,D,72000,AO,FT,300
WHAT'S UP BRO,2022-12-10T00:00:00Z,NA,969,LEZCANO JOSE,KLESARIS ROBERT P,119,1430,6,AQU,D,FT,S,70000,1,37.19008264462809,train,35.775804955611505,LEZCANO JOSE,300,122,1320,D,72000,AO,FT,300
WHAT'S UP BRO,2022-11-12T00:00:00Z,NA,941,ORTIZ IRAD JR,KLESARIS ROBERT P,119,1320,1,AQU,D,MY,S,70000,5,36.63500678426051,train,37.19008264462809,LEZCANO JOSE,300,119,1430,D,70000,S,FT,300
WHAT'S UP DOC,2023-08-12T00:00:00Z,NA,1611,TORRES JAIME A,Other,120,1760,4,SAR,D,FT,R,70000,7,36.239178578618876,train,0,Other,300,0,3000,Other,0,Other,Other,300
WHAT'S UP DOC,2023-07-22T00:00:00Z,NA,1590,TORRES JAIME A,CASH NORMAN L,120,1980,5,SAR,D,FT,R,70000,2,36.22540250447227,train,36.239178578618876,TORRES JAIME A,300,120,1760,D,70000,R,FT,300
WHAT'S UP DOC,2023-06-29T00:00:00Z,NA,1567,SAEZ GABRIEL,CASH NORMAN L,126,1760,2,ELP,D,SY,R,72000,3,37.19392499225127,train,36.22540250447227,TORRES JAIME A,300,120,1980,D,70000,R,FT,300
WHAT'S UP DOC,2023-06-18T00:00:00Z,NA,1556,SAEZ GABRIEL,CASH NORMAN L,126,1760,3,ELP,D,FT,R,72000,2,37.205456800330715,train,37.19392499225127,SAEZ GABRIEL,300,126,1760,D,72000,R,SY,300
WHAT'S UP DOC,2023-06-04T00:00:00Z,NA,1542,GAFFALIONE TYLER,Other,125,1760,6,CD,D,FT,M,58000,1,37.59398496240601,train,37.205456800330715,SAEZ GABRIEL,300,126,1760,D,72000,R,FT,300
WHAT'S UP DOC,2022-07-16T00:00:00Z,NA,1219,CORRALES GERARDO,COX BRAD H,118,1760,3,ELP,D,MY,S,60000,2,37.44928742328098,train,37.59398496240601,GAFFALIONE TYLER,300,125,1760,D,58000,M,FT,300
WHAT'S UP DOC,2022-06-17T00:00:00Z,NA,1190,GEROUX FLORENT,COX BRAD H,118,1760,1,CD,D,FT,S,120000,3,37.37929602325823,train,37.44928742328098,CORRALES GERARDO,300,118,1760,D,60000,S,MY,300
WHIRLIN CURLIN,2018-03-17T00:00:00Z,NA,1067,TOLEDO JEVIAN,CAPUANO GARY A,116,1870,6,LRL,D,FT,N,100000,6,36.19759629033784,train,0,Other,300,0,3000,Other,0,Other,Other,300
WHIRLIN CURLIN,2018-01-27T00:00:00Z,NA,1018,ACOSTA J D,CAPUANO GARY A,122,1540,1,LRL,D,FT,N,100000,6,37.076271186440685,train,36.19759629033784,TOLEDO JEVIAN,300,116,1870,D,100000,N,FT,300
WHIRLIN CURLIN,2017-12-30T00:00:00Z,NA,990,TOLEDO JEVIAN,CAPUANO GARY A,120,1540,6,LRL,D,FT,N,100000,5,36.65347917151501,train,37.076271186440685,ACOSTA J D,300,122,1540,D,100000,N,FT,300
WHIRLIN CURLIN,2017-12-09T00:00:00Z,NA,969,TOLEDO JEVIAN,CAPUANO GARY A,120,1540,3,LRL,D,FT,N,100000,1,37.51786565030967,train,36.65347917151501,TOLEDO JEVIAN,300,120,1540,D,100000,N,FT,300
WHIRLIN CURLIN,2017-11-25T00:00:00Z,NA,955,TOLEDO JEVIAN,CAPUANO GARY A,115,1320,4,LRL,D,FT,N,50000,1,37.641154328732746,train,37.51786565030967,TOLEDO JEVIAN,300,120,1540,D,100000,N,FT,300
WHIRLIN CURLIN,2017-11-04T00:00:00Z,NA,934,TORRES JOMAR,CAPUANO GARY A,122,1870,2,LRL,T,YL,S,40000,6,34.79170456612698,train,37.641154328732746,TOLEDO JEVIAN,300,115,1320,D,50000,N,FT,300
WHIRLIN CURLIN,2017-10-09T00:00:00Z,NA,908,TORRES JOMAR,CAPUANO GARY A,122,1760,7,LRL,D,SY,S,40000,6,34.27592116538132,train,34.79170456612698,TORRES JOMAR,300,122,1870,T,40000,S,YL,300
WHISKEY RUN,2018-03-18T00:00:00Z,NA,1403,LUZZI M J,MICELI MICHAEL,122,1320,5,AQU,D,FT,S,55000,6,34.96503496503497,train,0,Other,300,0,3000,Other,0,Other,Other,300
WHITE CHOCOLATE,2022-12-15T00:00:00Z,NA,1005,LANERIE C J,ASMUSSEN STEVEN M,120,1320,3,FG,D,FT,S,50000,3,37.60445682451253,train,0,Other,300,0,3000,Other,0,Other,Other,300
WHITE FLAG,2019-09-07T00:00:00Z,NA,2002,ROSARIO JOEL,CLEMENT CHRISTOPHE,121,1320,6,KD,T,FM,G3,700000,8,38.63766456783057,train,0,Other,300,0,3000,Other,0,Other,Other,300
WHITE FLAG,2019-06-29T00:00:00Z,NA,1932,CASTELLANO J J,CLEMENT CHRISTOPHE,119,1320,8,WO,T,FM,G1,300000,3,39.61267605633803,train,38.63766456783057,ROSARIO JOEL,300,121,1320,T,700000,G3,FM,300
WHITE FLAG,2019-01-12T00:00:00Z,NA,1764,ORTIZ JOSE L,CLEMENT CHRISTOPHE,119,1760,2,GP,T,FM,G3,100000,4,37.87480273540242,train,39.61267605633803,CASTELLANO J J,300,119,1320,T,300000,G1,FM,300
WHITE FLAG,2018-11-24T00:00:00Z,NA,1715,COHEN DAVID,CLEMENT CHRISTOPHE,122,1320,6,AQU,t,FM,N,125000,1,39.717563989408646,train,37.87480273540242,ORTIZ JOSE L,300,119,1760,T,100000,G3,FM,300
WHITE FLAG,2018-10-06T00:00:00Z,NA,1666,DESORMEAUX K J,CLEMENT CHRISTOPHE,121,1760,2,SA,T,FM,G2,200000,5,38.62246540070808,train,39.717563989408646,COHEN DAVID,300,122,1320,t,125000,N,FM,300
WHITE FLAG,2018-09-08T00:00:00Z,NA,1638,ROSARIO JOEL,CLEMENT CHRISTOPHE,121,1430,6,KD,T,TF,G3,500000,2,38.61895959862688,train,38.62246540070808,DESORMEAUX K J,300,121,1760,T,200000,G2,FM,300
WHITE FLAG,2018-07-11T00:00:00Z,NA,1579,ROSARIO JOEL,CLEMENT CHRISTOPHE,120,1540,2,BEL,T,FM,AO,85000,1,39.08673532696364,train,38.61895959862688,ROSARIO JOEL,300,121,1430,T,500000,G3,TF,300
WHITE FLAG,2018-06-17T00:00:00Z,NA,1555,ROSARIO JOEL,CLEMENT CHRISTOPHE,120,1320,6,BEL,t,FM,AO,85000,2,40.41311180960933,train,39.08673532696364,ROSARIO JOEL,300,120,1540,T,85000,AO,FM,300
WHITE FLAG,2017-11-25T00:00:00Z,NA,1351,ROSARIO JOEL,CLEMENT CHRISTOPHE,121,1320,2,AQU,t,FM,N,125000,7,38.882488479262676,train,40.41311180960933,ROSARIO JOEL,300,120,1320,t,85000,AO,FM,300
WHITE FLAG,2017-10-15T00:00:00Z,NA,1310,ROSARIO JOEL,CLEMENT CHRISTOPHE,118,1320,2,WO,T,SF,G2,250000,3,37.23624327678941,train,38.882488479262676,ROSARIO JOEL,300,121,1320,t,125000,N,FM,300
WHITMORE,2018-04-14T00:00:00Z,NA,1915,SANTANA RICARDO JR,MOQUETT RONALD E,121,1320,4,OP,D,FT,G3,400000,1,38.698581052028096,train,0,Other,300,0,3000,Other,0,Other,Other,300
WHITMORE,2018-03-10T00:00:00Z,NA,1880,SANTANA RICARDO JR,MOQUETT RONALD E,115,1320,3,OP,D,FT,N,125000,1,39.375820329590205,train,38.698581052028096,SANTANA RICARDO JR,300,121,1320,D,400000,G3,FT,300
WHITMORE,2017-11-04T00:00:00Z,NA,1754,FRANCO MANUEL,MOQUETT RONALD E,126,1320,5,DMR,D,FT,G1,1500000,8,38.357721267225465,train,39.375820329590205,SANTANA RICARDO JR,300,115,1320,D,125000,N,FT,300
WHITMORE,2017-10-06T00:00:00Z,NA,1725,FRANCO MANUEL,MOQUETT RONALD E,122,1320,11,KEE,D,FT,G2,250000,1,38.62660944206008,train,38.357721267225465,FRANCO MANUEL,300,126,1320,D,1500000,G1,FT,300
WHITMORE,2017-09-16T00:00:00Z,NA,1705,LYNCH FEARGAL,MOQUETT RONALD E,122,1320,2,LRL,D,FT,G3,250000,3,39.13610668212785,train,38.62660944206008,FRANCO MANUEL,300,122,1320,D,250000,G2,FT,300
WHITMORE,2017-06-09T00:00:00Z,NA,1606,SANTANA RICARDO JR,MOQUETT RONALD E,124,1320,8,BEL,D,FT,G2,250000,3,38.86569742334821,train,39.13610668212785,LYNCH FEARGAL,300,122,1320,D,250000,G3,FT,300
WHITMORE,2017-05-20T00:00:00Z,NA,1586,SANTANA RICARDO JR,MOQUETT RONALD E,124,1320,5,PIM,D,GD,G3,150000,1,38.62660944206008,train,38.86569742334821,SANTANA RICARDO JR,300,124,1320,D,250000,G2,FT,300
WHITMORE,2017-04-15T00:00:00Z,NA,1551,SANTANA RICARDO JR,MOQUETT RONALD E,122,1320,8,OP,D,FT,G3,400000,1,39.50256035113387,train,38.62660944206008,SANTANA RICARDO JR,300,124,1320,D,150000,G3,GD,300
WHITMORE,2017-03-11T00:00:00Z,NA,1516,SANTANA RICARDO JR,MOQUETT RONALD E,119,1320,4,OP,D,FT,N,125000,1,39.28987194412107,train,39.50256035113387,SANTANA RICARDO JR,300,122,1320,D,400000,G3,FT,300
WHITMORE,2017-01-15T00:00:00Z,NA,1461,ORTIZ JOSE L,MOQUETT RONALD E,122,1320,3,OP,D,FT,AO,76000,1,39.23848277866589,train,39.28987194412107,SANTANA RICARDO JR,300,119,1320,D,125000,N,FT,300
WHY WASTE WORDS,2023-08-30T00:00:00Z,7,1232,FRANCO MANUEL,BOND HAROLD JAMES,118,1980,12,SAR,T,YL,S,136500,NA,999,test,0,Other,300,0,3000,Other,0,Other,Other,300
WHY WASTE WORDS,2023-07-15T00:00:00Z,NA,1186,FRANCO MANUEL,BOND HAROLD JAMES,118,1870,3,SAR,t,FM,S,136500,2,36.10193487494101,train,999,FRANCO MANUEL,300,118,1980,T,136500,S,YL,300
WICKED HALO,2023-07-23T00:00:00Z,NA,1591,TORRES CRISTIAN A,ASMUSSEN STEVEN M,124,1320,5,ELP,D,FT,N,125000,1,38.374076179647524,train,0,Other,300,0,3000,Other,0,Other,Other,300
WICKED HALO,2023-06-17T00:00:00Z,NA,1555,ORTIZ JOSE L,ASMUSSEN STEVEN M,124,1540,3,BEL,D,FT,G2,200000,2,38.21424238748028,train,38.374076179647524,TORRES CRISTIAN A,300,124,1320,D,125000,N,FT,300
